tile,occupied_voxels,total_voxels,voxel_occupancy_ratio,understory_veg_returns,ground_returns,fractional_cover,understory_returns,first_returns,normalized_cover,lad_0.5_3.5m,canopy_first_returns,total_first_returns,canopy_cover_ratio_dbh,NDVI_count,NDVI_mean,NDVI_stdev,NDVI_min,NDVI_max
tile_282500_1551900.las,19903,67200,0.2962,54430,5909,0.9021,54430,134192,0.4056,1.7107,103476,134192,0.7711,100.0,0.662644053697586,0.05331288645242,0.461709260940552,0.751401305198669
tile_282600_1550000.las,11962,67200,0.178,25746,5273,0.83,25746,139641,0.1844,2.7754,119220,139641,0.8538,100.0,0.529411410391331,0.056854291125419,0.418306559324265,0.607122957706451
tile_282600_1550100.las,10503,78400,0.134,21032,2915,0.8783,21032,200583,0.1049,3.2322,193714,200583,0.9658,100.0,0.572978156805038,0.023503123845997,0.523858547210693,0.628929913043976
tile_282600_1550200.las,16089,78400,0.2052,33291,8067,0.8049,33291,135998,0.2448,2.4271,102873,135998,0.7564,100.0,0.552880273163319,0.050293646297193,0.399761468172073,0.617872059345245
tile_282600_1550300.las,23207,78400,0.296,58103,12229,0.8261,58103,132424,0.4388,1.5435,71012,132424,0.5362,100.0,0.486568079888821,0.056508729313744,0.351217985153198,0.60755866765976
tile_282600_1550400.las,25549,78400,0.3259,80806,9078,0.899,80806,189356,0.4267,1.6944,125904,189356,0.6649,100.0,0.545547678470612,0.034825295097751,0.447853475809097,0.622967541217804
tile_282600_1550500.las,21856,78400,0.2788,64828,7428,0.8972,64828,177541,0.3651,1.9046,130400,177541,0.7345,100.0,0.651832970380783,0.056224422113391,0.54983526468277,0.744230508804321
tile_282600_1550600.las,13699,78400,0.1747,25095,4113,0.8592,25095,97757,0.2567,2.2826,82305,97757,0.8419,100.0,0.688258879184723,0.062065597513246,0.500320971012115,0.766835153102875
tile_282600_1550700.las,11288,78400,0.144,22008,2766,0.8884,22008,114814,0.1917,2.5907,105383,114814,0.9179,100.0,0.674122483432293,0.073373029373413,0.443745762109756,0.757925450801849
tile_282600_1550800.las,12073,78400,0.154,25349,2870,0.8983,25349,166682,0.1521,2.834,158478,166682,0.9508,100.0,0.667632005512714,0.08956770450106,0.378199428319931,0.738869607448578
tile_282600_1550900.las,17187,78400,0.2192,41527,5841,0.8767,41527,162978,0.2548,2.4101,131714,162978,0.8082,100.0,0.694081281721592,0.055934009583902,0.458687126636505,0.743023574352264
tile_282600_1551000.las,27242,78400,0.3475,60888,9944,0.8596,60888,116356,0.5233,1.3003,53896,116356,0.4632,100.0,0.60221984565258,0.082760438013814,0.41124626994133,0.728662073612213
tile_282600_1551100.las,30228,78400,0.3856,85598,11067,0.8855,85598,130233,0.6573,0.8678,36699,130233,0.2818,100.0,0.442634542882442,0.108701104073559,0.264236807823181,0.64172226190567
tile_282600_1551200.las,31218,78400,0.3982,105505,13888,0.8837,105505,172551,0.6114,1.0095,45900,172551,0.266,100.0,0.368233080655336,0.089830211964613,0.213153660297394,0.579832911491394
tile_282600_1551300.las,24972,78400,0.3185,69775,10350,0.8708,69775,157730,0.4424,1.849,81867,157730,0.519,100.0,0.554148418754339,0.138505648729973,0.208848312497139,0.71772164106369
tile_282600_1551400.las,13373,78400,0.1706,25508,4801,0.8416,25508,99656,0.256,2.4633,79371,99656,0.7964,100.0,0.576602262556553,0.115137096578819,0.300226897001266,0.730709791183472
